pitch,yoffset_layer,yoffset_plane,zshift_layer,zshift_plane,zshift_view,alpha,reconstructible,reco_passed_no_clones,total
3.6,2.2145451822377367,3.266638066007129,1.5844155974025331,5.929327232529957,11.625659100327413,6.6952372356620895,35.0,33.0,100.0
3.6,2.609847089853413,3.680053550843701,2.71198280153982,5.939211155339673,11.758370041536734,5.102107056975914,29.0,17.0,100.0
3.6,2.0611101034668486,1.3587481133691226,1.7486861262262612,7.136709285256593,11.894159688098323,11.513498353842161,33.0,32.0,100.0
3.6,3.3665312132689227,2.982320471547021,2.8055523152393684,5.403728073289781,11.062233923396153,11.19457096350674,27.0,14.0,100.0
3.6,3.180110290574208,3.5066025151510365,2.0395776383784323,4.040147857588285,10.678220855742657,12.0672094963622,28.0,14.0,100.0
3.6,2.304824523081081,1.5281506067673667,1.728608727482713,6.859234613426162,11.142898986685147,12.904034316942909,36.0,34.0,100.0
3.6,2.8935040215978924,3.9478226805448737,3.009093380288573,5.146495566415499,10.65569854386302,7.483592638439792,25.0,19.0,100.0
3.6,3.3718889277206534,2.9047457148112787,2.266296491761108,5.4580568903164695,11.082347146064334,5.775261163403616,43.0,24.0,100.0
3.6,3.4746984264429965,3.230811689005532,2.4765107107618816,5.975229516099641,10.676367456374072,13.869667193158984,35.0,19.0,100.0
3.6,3.1071831958700544,1.41966386571742,2.5098523265250314,6.204344371685605,11.768347595484094,7.36728351117384,36.0,32.0,100.0
3.6,2.7751291987754607,3.1607140836643244,3.6276171705144082,5.809273836295527,11.878524871425723,11.860934758554508,29.0,19.0,100.0
3.6,3.3663013926763377,2.539367162310691,2.389023058345669,6.1229524450315305,10.639977413586427,8.164471174407963,29.0,22.0,100.0
3.6,3.4929674274981277,3.073288367143929,2.441838385182068,4.5461561123075525,11.153687114952051,8.641449535724629,38.0,15.0,100.0
3.6,2.1441468330209315,4.025328181825209,1.8818750772295456,5.5468298863330014,10.328561463452097,7.691236417860992,41.0,36.0,100.0
3.6,2.137367005938893,4.464191593093945,2.8184154182209373,6.735781869742591,11.823758002603036,7.638254602751298,44.0,44.0,100.0
3.6,2.622234328636707,4.397174201151903,3.5490786453653502,5.7497634914605795,11.619193938778615,10.604348469814708,32.0,27.0,100.0
3.6,1.8515360196295607,2.4081606021939423,2.003291732763579,4.94950364301091,11.939221183207705,8.626583241537162,34.0,33.0,100.0
3.6,3.3234730146670715,2.1636108250137243,2.7285172304815246,5.614434078483142,10.37666516200646,9.241926505444354,21.0,19.0,100.0
